Code,Country,EDGAR Country Code,Income group,Lending category,Region,CSC Sector,CSC Subsector,Gas,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Electricity/Heat,N2O,MtCO2e,0.001381912,0.001560574,0.001560574,0.001919379,0.001220961,0.001434371,0.001623523,0.00182595,0.002588949,0.004159365,0.004426374,0.00416625,0.005398437,0.008036872,0.011522942,0.0125081,0.008350712,0.008147052,0.008005555,0.008102685,0.006618375,0.006946977,0.006472681
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Fugitive Emissions,CH4,MtCO2e,42.30572394,40.05119105,39.25942204,37.9115257,39.25825378,39.56699008,35.52169636,33.71677688,35.27557232,33.97376249,38.78398265,35.98100338,36.83532288,37.12200935,36.18168866,38.33065558,37.05180018,36.00173832,33.4462238,31.61399728,30.08840404,26.7959458,24.69091179
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Fugitive Emissions,CO2,MtCO2e,11.99860275,11.20287348,10.46204936,10.23902311,9.939840161,9.435193499,8.082841818,7.215979038,7.162397472,6.992977431,8.318226281,8.322419501,6.842582621,6.790429623,7.415066462,8.765473712,9.283523887,8.719899847,6.72138408,5.871119773,5.058376976,5.029294126,4.645141853
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Fugitive Emissions,N2O,MtCO2e,0.072592127,0.070524226,0.068750317,0.068340756,0.067595124,0.066212459,0.062005749,0.059581123,0.060101354,0.059903883,0.065266556,0.065861187,0.061080105,0.061124801,0.063990274,0.069618012,0.071756944,0.068101298,0.06125474,0.058346318,0.055522405,0.056199468,0.055115918
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,0.004263887,0.004410348,0.004533972,0.004549267,0.004767476,0.004468911,0.004817983,0.00507333,0.005145444,0.005309994,0.005495586,0.005655036,0.005492572,0.005403948,0.005343733,0.005585939,0.005990079,0.005134981,0.005480348,0.005370702,0.005229084,0.005387061,0.005300808
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,1.572960185,1.616535442,1.776081016,1.831676576,2.102484254,1.715740782,1.956317848,2.266999046,2.09291439,2.184653927,2.337764838,2.420436476,2.215934319,1.622828723,1.459752802,2.204239009,2.479140031,1.360371926,1.925861001,1.506293862,1.330385924,1.437246167,1.317252023
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,0.005843393,0.00611816,0.00627809,0.006239478,0.006532718,0.006060238,0.006667463,0.006992023,0.007195602,0.007404527,0.007646487,0.007880184,0.007520905,0.007571091,0.007338165,0.007287947,0.008181561,0.006933972,0.007373615,0.007315002,0.00711655,0.007316362,0.007214622
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Transportation,CH4,MtCO2e,0.00620616,0.00696131,0.008366155,0.008498163,0.018040006,0.012813999,0.015601114,0.019997514,0.026727875,0.03308412,0.029330109,0.032809001,0.042089146,0.044287653,0.046488796,0.044578477,0.042248419,0.034497158,0.035147174,0.038505903,0.028037437,0.029349384,0.027430295
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Transportation,CO2,MtCO2e,1.074497792,1.204489167,1.480809686,2.754302492,3.452525505,2.476571004,3.293165729,3.896112374,5.203890982,5.757241972,5.683609696,6.276175417,6.741381429,7.698847009,7.939405497,7.98295973,7.913408171,6.721235977,6.94617094,7.933886269,5.632137785,5.89834517,5.523309014
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Energy,EN - Transportation,N2O,MtCO2e,0.009559352,0.01065874,0.013177394,0.022194602,0.027078321,0.019881886,0.028259954,0.032358275,0.047540264,0.055654488,0.05641562,0.066285431,0.07053928,0.077023189,0.079083901,0.080893,0.096529019,0.082727769,0.084998101,0.098498356,0.069509429,0.072773163,0.068052822
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,0.179337375,0.26355148,0.28424907,0.328303665,0.352592971,0.590020192,0.586177469,0.576412759,0.71435938,0.684164469,0.596058276,0.581943718,1.125494977,2.080791852,2.41431675,2.604729482,2.29535738,1.735633819,1.765822652,1.660634436,1.74388185,1.874036127,1.890033576
AGO,Angola,AGO,Lower middle income,IBRD,Africa Eastern and Southern,Industrial Processes,IN - Industrial Processes,HCFC,MtCO2e,0.000423231,0.000980492,0.001794901,0.002341922,0.003474094,0.005860872,0.006725453,0.007488844,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236,0.008252236
